Year,Month,Day,Min,Max,Avg,Type,Stepvalue,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
2013,7,24,10.3,14,12.15,0,0.308333333,10.3,10.60833333,10.91666667,11.225,11.53333333,11.84166667,12.15,12.45833333,12.76666667,13.075,13.38333333,13.69166667,14,13.69166667,13.38333334,13.075,12.76666667,12.45833334,12.15000001,11.84166667,11.53333334,11.22500001,10.91666667,10.60833334
2013,7,25,3.8,12.5,8.15,0,0.725,3.8,4.525,5.25,5.975,6.7,7.425,8.15,8.875,9.6,10.325,11.05,11.775,12.5,11.775,11.05,10.325,9.6,8.875,8.15,7.425,6.7,5.975,5.25,4.525
2013,7,26,7.1,15,11.05,0,0.658333333,7.1,7.758333333,8.416666667,9.075,9.733333333,10.39166667,11.05,11.70833333,12.36666667,13.025,13.68333333,14.34166667,15,14.34166667,13.68333334,13.025,12.36666667,11.70833334,11.05000001,10.39166667,9.733333339,9.075000006,8.416666673,7.75833334
2013,7,27,8.8,14.2,11.5,0,0.45,8.8,9.25,9.7,10.15,10.6,11.05,11.5,11.95,12.4,12.85,13.3,13.75,14.2,13.75,13.3,12.85,12.4,11.95,11.5,11.05,10.6,10.15,9.7,9.25
2013,7,28,10.7,18.6,14.65,0,0.658333333,10.7,11.35833333,12.01666667,12.675,13.33333333,13.99166667,14.65,15.30833333,15.96666667,16.625,17.28333333,17.94166667,18.6,17.94166667,17.28333334,16.625,15.96666667,15.30833334,14.65000001,13.99166667,13.33333334,12.67500001,12.01666667,11.35833334
2013,7,29,12,19.2,15.6,0,0.6,12,12.6,13.2,13.8,14.4,15,15.6,16.2,16.8,17.4,18,18.6,19.2,18.6,18,17.4,16.8,16.2,15.6,15,14.4,13.8,13.2,12.6
2013,7,30,10.1,14.4,12.25,0,0.358333333,10.1,10.45833333,10.81666667,11.175,11.53333333,11.89166667,12.25,12.60833333,12.96666667,13.325,13.68333333,14.04166667,14.4,14.04166667,13.68333334,13.325,12.96666667,12.60833334,12.25000001,11.89166667,11.53333334,11.17500001,10.81666667,10.45833334
2013,7,31,3.3,15,9.15,0,0.975,3.3,4.275,5.25,6.225,7.2,8.175,9.15,10.125,11.1,12.075,13.05,14.025,15,14.025,13.05,12.075,11.1,10.125,9.15,8.175,7.2,6.225,5.25,4.275
2013,8,1,5.7,14.1,9.9,0,0.7,5.7,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12,12.7,13.4,14.1,13.4,12.7,12,11.3,10.6,9.9,9.2,8.5,7.8,7.1,6.4
2013,8,2,7.6,14.2,10.9,0,0.55,7.6,8.15,8.7,9.25,9.8,10.35,10.9,11.45,12,12.55,13.1,13.65,14.2,13.65,13.1,12.55,12,11.45,10.9,10.35,9.8,9.25,8.7,8.15
2013,8,3,7.1,13.3,10.2,0,0.516666667,7.1,7.616666667,8.133333333,8.65,9.166666667,9.683333333,10.2,10.71666667,11.23333333,11.75,12.26666667,12.78333333,13.3,12.78333333,12.26666666,11.75,11.23333333,10.71666666,10.2,9.683333328,9.166666661,8.649999994,8.133333327,7.61666666
2013,8,4,7.7,13.7,10.7,0,0.5,7.7,8.2,8.7,9.2,9.7,10.2,10.7,11.2,11.7,12.2,12.7,13.2,13.7,13.2,12.7,12.2,11.7,11.2,10.7,10.2,9.7,9.2,8.7,8.2
2013,8,5,9.6,15.9,12.75,0,0.525,9.6,10.125,10.65,11.175,11.7,12.225,12.75,13.275,13.8,14.325,14.85,15.375,15.9,15.375,14.85,14.325,13.8,13.275,12.75,12.225,11.7,11.175,10.65,10.125
2013,8,6,11.2,16,13.6,0,0.4,11.2,11.6,12,12.4,12.8,13.2,13.6,14,14.4,14.8,15.2,15.6,16,15.6,15.2,14.8,14.4,14,13.6,13.2,12.8,12.4,12,11.6
2013,8,7,6.7,13.8,10.25,0,0.591666667,6.7,7.291666667,7.883333333,8.475,9.066666667,9.658333333,10.25,10.84166667,11.43333333,12.025,12.61666667,13.20833333,13.8,13.20833333,12.61666666,12.025,11.43333333,10.84166666,10.25,9.658333328,9.066666661,8.474999994,7.883333327,7.29166666
2013,8,8,6.5,13.4,9.95,0,0.575,6.5,7.075,7.65,8.225,8.8,9.375,9.95,10.525,11.1,11.675,12.25,12.825,13.4,12.825,12.25,11.675,11.1,10.525,9.95,9.375,8.8,8.225,7.65,7.075
2013,8,9,8,12.2,10.1,0,0.35,8,8.35,8.7,9.05,9.4,9.75,10.1,10.45,10.8,11.15,11.5,11.85,12.2,11.85,11.5,11.15,10.8,10.45,10.1,9.75,9.4,9.05,8.7,8.35
2013,8,10,9.1,17.9,13.5,0,0.733333333,9.1,9.833333333,10.56666667,11.3,12.03333333,12.76666667,13.5,14.23333333,14.96666667,15.7,16.43333333,17.16666667,17.9,17.16666667,16.43333334,15.7,14.96666667,14.23333334,13.50000001,12.76666667,12.03333334,11.30000001,10.56666667,9.83333334
2013,8,11,8.3,16.3,12.3,0,0.666666667,8.3,8.966666667,9.633333333,10.3,10.96666667,11.63333333,12.3,12.96666667,13.63333333,14.3,14.96666667,15.63333333,16.3,15.63333333,14.96666666,14.3,13.63333333,12.96666666,12.3,11.63333333,10.96666666,10.29999999,9.633333327,8.96666666
2013,8,12,10.9,14.1,12.5,0,0.266666667,10.9,11.16666667,11.43333333,11.7,11.96666667,12.23333333,12.5,12.76666667,13.03333333,13.3,13.56666667,13.83333333,14.1,13.83333333,13.56666666,13.3,13.03333333,12.76666666,12.5,12.23333333,11.96666666,11.69999999,11.43333333,11.16666666
2013,8,13,7.9,16.5,12.2,0,0.716666667,7.9,8.616666667,9.333333333,10.05,10.76666667,11.48333333,12.2,12.91666667,13.63333333,14.35,15.06666667,15.78333333,16.5,15.78333333,15.06666666,14.35,13.63333333,12.91666666,12.2,11.48333333,10.76666666,10.04999999,9.333333327,8.61666666
2013,8,14,11.2,14.4,12.8,0,0.266666667,11.2,11.46666667,11.73333333,12,12.26666667,12.53333333,12.8,13.06666667,13.33333333,13.6,13.86666667,14.13333333,14.4,14.13333333,13.86666666,13.6,13.33333333,13.06666666,12.8,12.53333333,12.26666666,11.99999999,11.73333333,11.46666666
2013,8,15,7.5,16.9,12.2,0,0.783333333,7.5,8.283333333,9.066666667,9.85,10.63333333,11.41666667,12.2,12.98333333,13.76666667,14.55,15.33333333,16.11666667,16.9,16.11666667,15.33333334,14.55,13.76666667,12.98333334,12.20000001,11.41666667,10.63333334,9.850000006,9.066666673,8.28333334
2013,8,16,10,17.9,13.95,0,0.658333333,10,10.65833333,11.31666667,11.975,12.63333333,13.29166667,13.95,14.60833333,15.26666667,15.925,16.58333333,17.24166667,17.9,17.24166667,16.58333334,15.925,15.26666667,14.60833334,13.95000001,13.29166667,12.63333334,11.97500001,11.31666667,10.65833334
2013,8,17,9.1,15.7,12.4,0,0.55,9.1,9.65,10.2,10.75,11.3,11.85,12.4,12.95,13.5,14.05,14.6,15.15,15.7,15.15,14.6,14.05,13.5,12.95,12.4,11.85,11.3,10.75,10.2,9.65
2013,8,18,10,17.6,13.8,0,0.633333333,10,10.63333333,11.26666667,11.9,12.53333333,13.16666667,13.8,14.43333333,15.06666667,15.7,16.33333333,16.96666667,17.6,16.96666667,16.33333334,15.7,15.06666667,14.43333334,13.80000001,13.16666667,12.53333334,11.90000001,11.26666667,10.63333334
2013,8,19,7.3,12.8,10.05,0,0.458333333,7.3,7.758333333,8.216666667,8.675,9.133333333,9.591666667,10.05,10.50833333,10.96666667,11.425,11.88333333,12.34166667,12.8,12.34166667,11.88333334,11.425,10.96666667,10.50833334,10.05000001,9.591666672,9.133333339,8.675000006,8.216666673,7.75833334
2013,8,20,5.5,12.7,9.1,0,0.6,5.5,6.1,6.7,7.3,7.9,8.5,9.1,9.7,10.3,10.9,11.5,12.1,12.7,12.1,11.5,10.9,10.3,9.7,9.1,8.5,7.9,7.3,6.7,6.1
2013,8,21,7.2,14.1,10.65,0,0.575,7.2,7.775,8.35,8.925,9.5,10.075,10.65,11.225,11.8,12.375,12.95,13.525,14.1,13.525,12.95,12.375,11.8,11.225,10.65,10.075,9.5,8.925,8.35,7.775
2013,8,22,9.5,15.1,12.3,0,0.466666667,9.5,9.966666667,10.43333333,10.9,11.36666667,11.83333333,12.3,12.76666667,13.23333333,13.7,14.16666667,14.63333333,15.1,14.63333333,14.16666666,13.7,13.23333333,12.76666666,12.3,11.83333333,11.36666666,10.89999999,10.43333333,9.96666666
2013,8,23,11.3,14.8,13.05,0,0.291666667,11.3,11.59166667,11.88333333,12.175,12.46666667,12.75833333,13.05,13.34166667,13.63333333,13.925,14.21666667,14.50833333,14.8,14.50833333,14.21666666,13.925,13.63333333,13.34166666,13.05,12.75833333,12.46666666,12.17499999,11.88333333,11.59166666
2013,8,24,10.6,16.5,13.55,0,0.491666667,10.6,11.09166667,11.58333333,12.075,12.56666667,13.05833333,13.55,14.04166667,14.53333333,15.025,15.51666667,16.00833333,16.5,16.00833333,15.51666666,15.025,14.53333333,14.04166666,13.55,13.05833333,12.56666666,12.07499999,11.58333333,11.09166666
2013,8,25,11.4,17.3,14.35,0,0.491666667,11.4,11.89166667,12.38333333,12.875,13.36666667,13.85833333,14.35,14.84166667,15.33333333,15.825,16.31666667,16.80833333,17.3,16.80833333,16.31666666,15.825,15.33333333,14.84166666,14.35,13.85833333,13.36666666,12.87499999,12.38333333,11.89166666
2013,8,26,10.5,19.4,14.95,0,0.741666667,10.5,11.24166667,11.98333333,12.725,13.46666667,14.20833333,14.95,15.69166667,16.43333333,17.175,17.91666667,18.65833333,19.4,18.65833333,17.91666666,17.175,16.43333333,15.69166666,14.95,14.20833333,13.46666666,12.72499999,11.98333333,11.24166666
2013,8,27,8.7,20.3,14.5,0,0.966666667,8.7,9.666666667,10.63333333,11.6,12.56666667,13.53333333,14.5,15.46666667,16.43333333,17.4,18.36666667,19.33333333,20.3,19.33333333,18.36666666,17.4,16.43333333,15.46666666,14.5,13.53333333,12.56666666,11.59999999,10.63333333,9.66666666
2013,8,28,10.9,22.4,16.65,1,0.958333333,10.9,11.85833333,12.81666667,13.775,14.73333333,15.69166667,16.65,17.60833333,18.56666667,19.525,20.48333333,21.44166667,22.4,21.44166667,20.48333334,19.525,18.56666667,17.60833334,16.65000001,15.69166667,14.73333334,13.77500001,12.81666667,11.85833334
2013,8,29,12.4,23.8,18.1,1,0.95,12.4,13.35,14.3,15.25,16.2,17.15,18.1,19.05,20,20.95,21.9,22.85,23.8,22.85,21.9,20.95,20,19.05,18.1,17.15,16.2,15.25,14.3,13.35
2013,8,30,14.7,19.1,16.9,1,0.366666667,14.7,15.06666667,15.43333333,15.8,16.16666667,16.53333333,16.9,17.26666667,17.63333333,18,18.36666667,18.73333333,19.1,18.73333333,18.36666666,18,17.63333333,17.26666666,16.9,16.53333333,16.16666666,15.79999999,15.43333333,15.06666666
2013,8,31,10.4,22.2,16.3,1,0.983333333,10.4,11.38333333,12.36666667,13.35,14.33333333,15.31666667,16.3,17.28333333,18.26666667,19.25,20.23333333,21.21666667,22.2,21.21666667,20.23333334,19.25,18.26666667,17.28333334,16.30000001,15.31666667,14.33333334,13.35000001,12.36666667,11.38333334
2013,9,1,13.7,23.4,18.55,1,0.808333333,13.7,14.50833333,15.31666667,16.125,16.93333333,17.74166667,18.55,19.35833333,20.16666667,20.975,21.78333333,22.59166667,23.4,22.59166667,21.78333334,20.975,20.16666667,19.35833334,18.55000001,17.74166667,16.93333334,16.12500001,15.31666667,14.50833334
